system:index,EVI,GID_3,LST_mean,NAME_3,NDDI,NDVI,OSAVI,SOC,SoilMoisture,agri_area_m2,cec,clay,elevation_m,is_cropland,lat,lon,pH,period_end,period_start,precip_sum,sand,silt,.geo
0_0000000000000000001a_0,0.253966405,IDN.9.12.27_1,29.61,Sukagumiwang,0.330384825,0.367640318,0.275637057,5.6516666,39.39985,2.39E+07,23.016666,38.4,16,1,-6.58186177,108.3236732,5.7,1/16/2010,1/1/2010,163.328927,31.066668,30.483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001d_0,0.218667639,IDN.9.12.30_1,34.83,Tukdana,0.279443196,0.15796382,0.144754847,5.295,39.39985,5.74E+07,19.15,39.433334,13,1,-6.561284943,108.2729179,5.4,1/16/2010,1/1/2010,157.0954301,26.4,34.183334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001_0,0.001228641,IDN.9.12.2_1,31.35,Arahan,0.646575435,0.001969914,0.001585972,5.8983335,38.70895,2.22E+07,23.4,40.5,2,1,-6.363311932,108.2467322,5.65,1/31/2010,1/16/2010,177.413456,26.933332,32.566666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0,0.525540709,IDN.9.12.4_1,29.63,Bangodua,0.373164089,0.763650363,0.605975446,7.2183332,38.844234,3.88E+07,26.216667,37.116665,9,1,-6.516957405,108.2788161,5.6,1/31/2010,1/16/2010,216.2254953,28.733334,34.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006_0,0.465961014,IDN.9.12.7_1,31.43,Cikedung,0.361606492,0.716298264,0.557650468,6.2233334,39.101242,8.44E+07,27.633333,40.783333,29,0,-6.537103773,108.174859,5.5,1/31/2010,1/16/2010,229.4772139,26.5,32.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007_0,0.557534359,IDN.9.12.8_1,28.19,Gabuswetan,0.329926567,0.530975735,0.468545034,6.0833335,38.70895,6.77E+07,25.516666,41.533333,9,1,-6.427559569,108.0681062,5.5,1/31/2010,1/16/2010,200.7773428,24.683332,33.733334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008_0,0.377090616,IDN.9.12.9_1,29.37,Gantar,0.396564863,0.679816675,0.504187535,4.37,42.21799,1.10E+08,16.433332,41.066666,42,1,-6.546260825,107.9498554,5.5,1/31/2010,1/16/2010,247.4931216,23.633333,35.283333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009_0,0.616577161,IDN.9.12.10_1,31.44,Haurgeulis,0.417977477,0.788490988,0.664253572,4.9,38.396606,4.70E+07,22.65,35.683334,21,1,-6.446405047,107.9374711,5.6,1/31/2010,1/16/2010,217.8127289,27.55,36.733334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b_0,0.084423126,IDN.9.12.12_1,32.77,Jatibarang,0.587865425,0.145826302,0.11017862,6.315,38.542175,2.77E+07,24.266666,40.816666,6,1,-6.440430282,108.3127631,5.5,1/31/2010,1/16/2010,186.3328571,25.666666,33.483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c_0,0.413078278,IDN.9.12.13_1,30.78,Juntinyuat,0.388261026,0.63246921,0.489633058,5.3966665,38.542175,4.00E+07,25.15,42.333332,5,0,-6.435702404,108.4106237,5.55,1/31/2010,1/16/2010,191.9415855,28.65,29.016666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f_0,0.592544689,IDN.9.12.16_1,30.81,Kedokan Bunder,0.404772562,0.829399051,0.68130568,5.8283334,38.542175,2.49E+07,20.833334,40.166668,7,1,-6.498111734,108.413541,5.5,1/31/2010,1/16/2010,194.4090729,27.1,32.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010_0,0.440799454,IDN.9.12.17_1,29.64,Kertasemaya,0.44825547,0.777234691,0.584327747,5.54,38.844234,2.80E+07,25.85,41.033333,11,1,-6.519212364,108.367312,5.766667,1/31/2010,1/16/2010,214.6831827,28.7,30.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000012_0,0.578398914,IDN.9.12.19_1,28.68333333,Kroya,0.384085158,0.767475292,0.646577049,7.355,38.70895,1.11E+08,24.25,37.483334,26,1,-6.499856595,108.0409915,5.55,1/31/2010,1/16/2010,221.304142,26.966667,35.533333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000013_0,0.220128176,IDN.9.12.20_1,28.8,Lelea,0.304322931,0.44613701,0.304502027,6.945,38.70895,5.12E+07,23.216667,38.85,5,1,-6.461084281,108.2255471,5.6,1/31/2010,1/16/2010,201.3376102,26.366667,34.783333,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000014_0,-0.025166247,IDN.9.12.21_1,32.51,Lohbener,0.070411315,0.081559795,0.081171765,3.9716666,38.542175,2.69E+07,20.716667,41.633335,2,1,-6.399805492,108.2562558,5.55,1/31/2010,1/16/2010,170.9437428,26.916666,31.366667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001a_0,0.547963381,IDN.9.12.27_1,29.04,Sukagumiwang,0.34528849,0.7970283,0.645702976,5.6516666,38.844234,2.39E+07,23.016666,38.4,16,1,-6.58186177,108.3236732,5.7,1/31/2010,1/16/2010,236.8681297,31.066668,30.483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001c_0,0.546694322,IDN.9.12.29_1,30.81,Terisi,0.292466843,0.758514013,0.620247954,6.4083333,39.101242,1.07E+08,21.5,37.533333,45,1,-6.56059026,108.067279,5.516667,1/31/2010,1/16/2010,245.0668082,26.216667,36.266666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001d_0,0.43838181,IDN.9.12.30_1,29.79,Tukdana,0.21241237,0.449646234,0.397530391,5.295,38.844234,5.74E+07,19.15,39.433334,13,1,-6.561284943,108.2729179,5.4,1/31/2010,1/16/2010,228.5804672,26.4,34.183334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001e_0,0.362859253,IDN.9.12.31_1,31.95,Widasari,0.156864785,0.271699328,0.250059511,5.83,38.542175,3.19E+07,26.133333,38.3,8,1,-6.466610802,108.2732647,5.5,1/31/2010,1/16/2010,196.0902543,26.783333,34.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000_0,0.305213677,IDN.9.12.1_1,30.85,Anjatan,0.264738061,0.312707645,0.260590163,3.8416667,38.285576,6.86E+07,24.416666,35.65,14,1,-6.376434756,107.9465204,5.5,2/15/2010,1/31/2010,171.6058202,29.95,34.366665,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003_0,0.674180009,IDN.9.12.4_1,28.29,Bangodua,0.422571666,0.877962151,0.7313189,7.2183332,38.77043,3.88E+07,26.216667,37.116665,9,1,-6.516957405,108.2788161,5.6,2/15/2010,1/31/2010,157.7997546,28.733334,34.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004_0,0.742992601,IDN.9.12.5_1,29.22,Bongas,0.467705017,0.917984025,0.785009896,3.7733333,38.594093,4.15E+07,21.666666,37.016666,7,1,-6.379961067,108.0174887,5.65,2/15/2010,1/31/2010,166.3416319,30.05,32.916668,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006_0,0.340599975,IDN.9.12.7_1,29.57,Cikedung,0.440654505,0.732149289,0.473174688,6.2233334,39.061108,8.44E+07,27.633333,40.783333,29,0,-6.537103773,108.174859,5.5,2/15/2010,1/31/2010,178.1267533,26.5,32.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008_0,0.635893725,IDN.9.12.9_1,28.34333333,Gantar,0.374350717,0.828164015,0.690296922,4.37,42.2129,1.10E+08,16.433332,41.066666,42,1,-6.546260825,107.9498554,5.5,2/15/2010,1/31/2010,187.6395307,23.633333,35.283333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009_0,0.352775283,IDN.9.12.10_1,29.94,Haurgeulis,0.411201402,0.634734528,0.419234013,4.9,38.285576,4.70E+07,22.65,35.683334,21,1,-6.446405047,107.9374711,5.6,2/15/2010,1/31/2010,165.8542514,27.55,36.733334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b_0,0.114961159,IDN.9.12.12_1,30.77,Jatibarang,0.525010847,0.285322467,0.180280865,6.315,38.40649,2.77E+07,24.266666,40.816666,6,1,-6.440430282,108.3127631,5.5,2/15/2010,1/31/2010,149.3435073,25.666666,33.483334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c_0,0.556001938,IDN.9.12.13_1,28.33,Juntinyuat,0.3985934,0.819235061,0.630817753,5.3966665,38.40649,4.00E+07,25.15,42.333332,5,0,-6.435702404,108.4106237,5.55,2/15/2010,1/31/2010,135.8941684,28.65,29.016666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000f_0,0.838272307,IDN.9.12.16_1,26.67,Kedokan Bunder,0.441684617,0.868899961,0.771753473,5.8283334,38.40649,2.49E+07,20.833334,40.166668,7,1,-6.498111734,108.413541,5.5,2/15/2010,1/31/2010,151.8094406,27.1,32.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000010_0,3.148038636,IDN.9.12.17_1,24.21,Kertasemaya,0.122417151,-0.43167176,-0.467332127,5.54,38.77043,2.80E+07,25.85,41.033333,11,1,-6.519212364,108.367312,5.766667,2/15/2010,1/31/2010,160.762229,28.7,30.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000012_0,3.201136165,IDN.9.12.19_1,30,Kroya,0.095100614,-0.395444287,-0.428835863,7.355,38.594093,1.11E+08,24.25,37.483334,26,1,-6.499856595,108.0409915,5.55,2/15/2010,1/31/2010,180.1558857,26.966667,35.533333,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000014_0,0.327824499,IDN.9.12.21_1,30.47666667,Lohbener,0.398170834,0.623195465,0.445296115,3.9716666,38.40649,2.69E+07,20.716667,41.633335,2,1,-6.399805492,108.2562558,5.55,2/15/2010,1/31/2010,143.309392,26.916666,31.366667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000015_0,-0.005021229,IDN.9.12.22_1,28.21,Losarang,0.393413097,-0.019663748,-0.009317054,5.7533336,38.594093,5.49E+07,30,42,-5,0,-6.370965143,108.1748983,5.85,2/15/2010,1/31/2010,159.6732345,25.3,32.7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000001d_0,0.541434315,IDN.9.12.30_1,29.68,Tukdana,0.374948461,0.827378093,0.648300341,5.295,38.77043,5.74E+07,19.15,39.433334,13,1,-6.561284943,108.2729179,5.4,2/15/2010,1/31/2010,177.359766,26.4,34.183334,"{""type"":""MultiPoint"",""coordinates"":[]}"
